Account Summary
Account,Net Account Value,Total Gain $,Total Gain %,Day's Gain Unrealized $,Day's Gain Unrealized %,Available For Withdrawal,Marginable Securities,Non-Marginable Securities
"Margin Account -3058",5478.40,379.92,5.84,-42.03,-.65,494.59,2633.16,789.95


View Summary - Dividend
Filters applied: 
Symbol,Security type(s),Sort by,Sort order,
,All,Qty #,Desc,

Symbol,Last Price $,Value $,Change $,Change %,% of Portfolio,Qty #,Cost/Share,Day's Gain $,Total Gain $,Total Gain %,YTD Gain %,Dividend Yield %,Est. Annual Income,Ex-Div Date,Dividend Pay Date,Dividend
     08/26/2025,67.01,67.0100,-0.61,-0.90,1.2232,1.0000,68.7000,-.6100,-1.6900,-2.4600,-2.4600,3.0169,2.0400,09/15/2025,10/01/2025,.5100
     09/12/2025,67.01,67.0100,-0.61,-0.90,1.2232,1.0000,67.0500,-.0400,-.0400,-.0597,-.0597,3.0169,2.0400,09/15/2025,10/01/2025,.5100
JEPQ,56.54,290.7287,0.13,0.23,5.3068,5.1420,52.6332,.6685,20.0887,7.4227,7.4200,10.7782,27.2700,09/02/2025,09/04/2025,.4420
     05/23/2025,56.54,56.5400,0.13,0.23,1.0321,1.0000,52.0400,.1300,4.5000,8.6472,8.6472,10.7782,5.3000,09/02/2025,09/04/2025,.4420
     06/04/2025,56.54,.6785,0.13,0.23,.0124,.0120,51.6667,.0016,.0585,9.4323,9.4323,10.7782,.0600,09/02/2025,09/04/2025,.4420
     06/13/2025,56.54,56.5400,0.13,0.23,1.0321,1.0000,52.6500,.1300,3.8900,7.3884,7.3884,10.7782,5.3000,09/02/2025,09/04/2025,.4420
     06/17/2025,56.54,56.5400,0.13,0.23,1.0321,1.0000,52.8000,.1300,3.7400,7.0833,7.0833,10.7782,5.3000,09/02/2025,09/04/2025,.4420
     06/20/2025,56.54,56.5400,0.13,0.23,1.0321,1.0000,52.7500,.1300,3.7900,7.1848,7.1848,10.7782,5.3000,09/02/2025,09/04/2025,.4420
     06/20/2025,56.54,56.5400,0.13,0.23,1.0321,1.0000,52.8000,.1300,3.7400,7.0833,7.0833,10.7782,5.3000,09/02/2025,09/04/2025,.4420
     07/03/2025,56.54,.5089,0.13,0.23,.0093,.0090,54.4444,.0012,.0189,3.8490,3.8490,10.7782,.0500,09/02/2025,09/04/2025,.4420
     07/03/2025,56.54,2.0920,0.13,0.23,.0382,.0370,53.5135,.0048,.1120,5.6556,5.6556,10.7782,.2000,09/02/2025,09/04/2025,.4420
     08/05/2025,56.54,2.3181,0.13,0.23,.0423,.0410,54.3902,.0053,.0881,3.9525,3.9525,10.7782,.2200,09/02/2025,09/04/2025,.4420
     08/05/2025,56.54,.0565,0.13,0.23,.0010,.0010,20.0000,.0001,.0365,182.7000,182.7000,10.7782,.0100,09/02/2025,09/04/2025,.4420
